participant_id,phase,timestamp,ACC_x_mean,ACC_x_sd,ACC_x_max,ACC_x_min,ACC_y_mean,ACC_y_sd,ACC_y_max,ACC_y_min,ACC_z_mean,ACC_z_sd,ACC_z_max,ACC_z_min,BVP_mean,BVP_sd,BVP_max,BVP_min,EDA_mean,EDA_sd,EDA_max,EDA_min,TEMP_mean,TEMP_sd,TEMP_max,TEMP_min,HR_mean,HR_sd,HR_max,HR_min,IBI_mean,IBI_sd,IBI_max,IBI_min,reported_stress,weight
S01,Baseline,2013-02-20 18:02:06.968750,-53.447916666666664,14.130311004569423,0.0,-83.0,-24.664583333333333,16.1114469709179,-3.0,-55.0,2.4614583333333333,17.63115825332656,63.0,-31.0,-0.06853125000000002,64.98852975901777,334.51,-476.28,0.4963235166666667,0.008065063535500065,0.520487,0.479485,33.480000000000004,0.014201432049934886,33.5,33.45,63.16000000000002,0.5986997405297115,63.73,61.67,1.1041666666666667,0.12136646039303171,1.203125,0.96875,3.0,0.125
S01,Baseline,2013-02-20 18:02:36.968750,-62.434375,3.2641551251307783,-42.0,-85.0,10.094791666666667,8.676095547554445,27.0,-18.0,-4.019791666666666,12.832222214560135,27.0,-33.0,0.2056718749999999,44.28536193573084,384.65,-189.4,0.5249720250000001,0.020911112406043656,0.573022,0.493579,33.437333333333335,0.014185643904921852,33.47,33.41,58.562,1.0645037697735362,61.37,57.38,1.07421875,0.13356535569177896,1.203125,0.875,3.0,0.125
S01,Baseline,2013-02-20 18:03:06.968750,-46.93958333333333,15.313699109980096,6.0,-86.0,-10.934375,20.799325849972906,39.0,-37.0,12.3625,32.18870082648198,76.0,-48.0,-0.21648958333333354,77.32179209206954,348.17,-584.62,0.5400062833333334,0.0068524800395299915,0.555083,0.52305,33.416666666666664,0.023383299841652203,33.47,33.39,61.088,2.111917579374007,64.3,58.03,1.001953125,0.10611779458754785,1.15625,0.859375,3.0,0.125
S01,Baseline,2013-02-20 18:03:36.968750,-44.170833333333334,14.331323872366225,-7.0,-90.0,-12.626041666666667,22.395505213381504,38.0,-57.0,31.754166666666666,17.724928197225527,89.0,-38.0,0.21426562499999993,77.3778365155506,535.09,-441.84,0.5367816249999999,0.018035435477830864,0.589679,0.506393,33.54266666666667,0.0303407353913783,33.59,33.47,66.607,1.4777222687123166,70.28,64.4,,,,,3.0,0.125
S01,Baseline,2013-02-20 18:04:06.968750,-60.06041666666667,0.3716993545184854,-59.0,-61.0,6.813541666666667,0.5142636578999512,9.0,5.0,22.633333333333333,0.6546005741775627,25.0,21.0,-0.3310624999999999,23.91397463234117,54.46,-128.68,0.5293926583333334,0.005325573359270527,0.547395,0.520487,33.45399999999999,0.06838349596948351,33.53,33.31,73.209,1.1558049889206188,75.07,70.83,0.9228515625,0.08335977770521284,1.046875,0.75,3.0,0.125
S01,Baseline,2013-02-20 18:04:36.968750,-38.520833333333336,12.166878548395202,-8.0,-72.0,-15.75625,12.171736115384885,13.0,-40.0,43.353125,11.200946380441186,70.0,20.0,0.20796874999999995,37.03087272531387,188.59,-265.94,0.5377853416666667,0.0053724325218294415,0.569178,0.526894,33.275999999999996,0.04613462215456565,33.37,33.21,71.34166666666665,0.6063689745801089,72.65,70.47,0.8557692307692307,0.0657222265119823,0.96875,0.734375,3.0,0.125
S01,Baseline,2013-02-20 18:05:06.968750,-24.613541666666666,16.32943004733592,29.0,-63.0,-28.863541666666666,13.921166544311806,7.0,-66.0,45.0875,9.26206622188831,70.0,4.0,-0.060510416666666254,65.36017635616436,346.29,-480.42,0.55515805,0.018895459181902885,0.615306,0.533301,33.43933333333334,0.041963035621169105,33.5,33.37,67.247,1.1822076076502837,70.23,66.4,0.890625,0.11011653391596861,1.109375,0.734375,3.0,0.125
S01,Baseline,2013-02-20 18:05:36.968750,-32.5375,2.043492175447645,-11.0,-34.0,-23.464583333333334,2.0769342112261606,-12.0,-27.0,48.8375,1.4501267428696796,63.0,47.0,0.31054166666666666,35.78880125218797,221.8,-191.84,0.5454733083333333,0.01245511958306709,0.570459,0.528175,33.53433333333334,0.03514037476145228,33.61,33.49,66.422,1.3875117893254958,67.72,63.32,1.0267857142857142,0.08351913809763262,1.171875,0.9375,3.0,0.125
S01,Stroop,2013-02-20 18:09:16.968750,-17.282291666666666,2.9437725149445155,4.0,-26.0,-22.00625,1.6395663418611455,-12.0,-28.0,55.938541666666666,1.4977821484676526,68.0,46.0,0.06429166666666655,28.18009332564271,76.33,-124.71,0.6509959000000001,0.09422577884117067,1.263728,0.588467,33.873000000000005,0.017422095504407122,33.89,33.84,55.71366666666667,1.3578595817234422,57.68,53.27,1.09765625,0.11222115326257939,1.234375,0.984375,4.5,0.3333333333333333
S01,Stroop,2013-02-20 18:09:46.968750,-31.177083333333332,4.317181503581064,-6.0,-36.0,-27.494791666666668,1.8077500745243933,-12.0,-38.0,47.666666666666664,2.7550945006176955,71.0,38.0,0.11942187500000004,40.677827915564,107.74,-108.96,0.6234687416666667,0.013578545059803215,0.665347,0.603843,33.898666666666664,0.01918215790970425,33.95,33.87,52.678000000000004,0.23520204080747287,53.08,52.32,1.1748046875,0.13861042505849203,1.40625,0.921875,4.5,0.3333333333333333
