node,in_degree,out_degree,total_degree,in_strength,out_strength,total_strength
HR,3,3,6,133.41523894567118,18.246153028494398,151.66139197416558
TEMP,3,2,5,23.8419393235395,48.32436909408173,72.16630841762122
EDA,2,2,4,10.443952591359807,53.85391022817805,64.29786281953785
IBI,1,2,3,4.3118947462761525,51.58859325609247,55.900488002368625
BVP,0,0,0,0.0,0.0,0.0
