pair,X,Y,rest_f,stress_f,rest_sig_rate,stress_sig_rate,rest_lag,stress_lag,delta_f
TEMP -> HR,TEMP,HR,28.188925159372207,38.713390976248604,0.7176470588235294,0.8888888888888888,1.6352941176470588,1.1111111111111112,10.524465816876397
EDA -> TEMP,EDA,TEMP,7.657240594915344,15.10638821840309,0.5176470588235295,0.5,2.788235294117647,1.8333333333333333,7.449147623487746
HR -> TEMP,HR,TEMP,4.9073919226609535,11.319390724845542,0.4,0.6666666666666666,2.4823529411764707,2.611111111111111,6.411998802184589
IBI -> TEMP,IBI,TEMP,2.0312883674587914,3.9122084739512766,0.2235294117647059,0.3888888888888889,2.5833333333333335,2.888888888888889,1.8809201064924852
BVP -> TEMP,BVP,TEMP,3.1061117943281533,2.876022433770045,0.3411764705882353,0.2777777777777778,2.588235294117647,2.5,-0.23008936055810825
TEMP -> BVP,TEMP,BVP,1.4269096737482012,1.052823505472195,0.10588235294117647,0.0,3.3058823529411763,3.3333333333333335,-0.37408616827600616
BVP -> EDA,BVP,EDA,5.031025028177205,4.437652233185471,0.5176470588235295,0.4444444444444444,2.988235294117647,2.111111111111111,-0.5933727949917342
BVP -> IBI,BVP,IBI,1.8771582135397107,1.2078897396855954,0.2235294117647059,0.0,2.2261904761904763,2.1666666666666665,-0.6692684738541153
IBI -> BVP,IBI,BVP,2.3637697068689003,1.5537710702650822,0.29411764705882354,0.16666666666666666,3.0833333333333335,2.611111111111111,-0.8099986366038181
BVP -> HR,BVP,HR,2.4258962200015515,1.4597572319463061,0.2823529411764706,0.16666666666666666,3.070588235294118,3.3333333333333335,-0.9661389880552453
HR -> BVP,HR,BVP,2.063267231913554,0.7355360881700124,0.1411764705882353,0.05555555555555555,3.447058823529412,3.4444444444444446,-1.3277311437435415
TEMP -> IBI,TEMP,IBI,3.460503934336197,2.0541226376750195,0.2823529411764706,0.2777777777777778,2.5714285714285716,2.3333333333333335,-1.4063812966611775
IBI -> EDA,IBI,EDA,3.5561985765507123,1.9939619130895498,0.25882352941176473,0.2222222222222222,2.011904761904762,2.388888888888889,-1.5622366634611624
EDA -> IBI,EDA,IBI,3.4137964402387078,1.823998327661014,0.3058823529411765,0.2777777777777778,1.8928571428571428,2.8333333333333335,-1.5897981125776937
HR -> IBI,HR,IBI,9.136684540708776,6.724232222143632,0.6235294117647059,0.7777777777777778,2.5476190476190474,2.7222222222222223,-2.412452318565144
EDA -> BVP,EDA,BVP,4.297429514389195,1.7212525846331752,0.5764705882352941,0.2222222222222222,3.5764705882352943,3.0,-2.57617692975602
EDA -> HR,EDA,HR,43.70273794053524,40.70420857275615,0.8470588235294118,0.7777777777777778,1.8705882352941177,1.1666666666666667,-2.998529367779092
IBI -> HR,IBI,HR,52.25616596062574,47.989787721808575,0.7411764705882353,0.8888888888888888,1.2619047619047619,1.2777777777777777,-4.266378238817161
HR -> EDA,HR,EDA,10.724759927353894,6.277988882425436,0.5176470588235295,0.5,2.4705882352941178,2.2777777777777777,-4.446771044928457
TEMP -> EDA,TEMP,EDA,28.483269564348223,10.362369198685053,0.4588235294117647,0.5555555555555556,2.1176470588235294,2.0555555555555554,-18.120900365663168
