node,in_degree,out_degree,total_degree,in_strength,out_strength,total_strength
HR,3,3,6,118.56584812226625,53.816378372977056,172.3822264952433
TEMP,2,2,4,43.18012304707153,47.867881882787174,91.0480049298587
EDA,2,3,5,26.51846290532395,61.129378014942894,87.64784092026684
IBI,1,1,2,6.598603218414253,35.52806804415517,42.126671262569424
BVP,1,0,1,3.4786690217863145,0.0,3.4786690217863145
